long_name,age,nationality,club,overall
Sadio Mané,27,Senegal,Liverpool,88
Aymeric  Laporte,25,France,Manchester City,87
Bernardo Mota Veiga de Carvalho e Silva,24,Portugal,Manchester City,87
Carlos Henrique Venancio Casimiro,27,Brazil,Real Madrid,87
손흥민 孙兴慜,26,Korea Republic,Tottenham Hotspur,87
Fernando Luiz Rosa,34,Brazil,Manchester City,87
Thiago Emiliano da Silva,34,Brazil,Paris Saint-Germain,87
Karim Benzema,31,France,Real Madrid,87
Jan Vertonghen,32,Belgium,Tottenham Hotspur,87
Dries Mertens,32,Belgium,Napoli,87
Mats  Hummels,30,Germany,Borussia Dortmund,87
Toby Alderweireld,30,Belgium,Tottenham Hotspur,87
Jordi Alba Ramos,30,Spain,FC Barcelona,87
Thiago Alcântara do Nascimento,28,Spain,FC Bayern München,87
Keylor Navas,32,Costa Rica,Real Madrid,87
Lorenzo Insigne,28,Italy,Napoli,87
Leroy Sané,23,Germany,Manchester City,86
Marcos  Aoás Corrêa,25,Brazil,Paris Saint-Germain,86
Milan Škriniar,24,Slovakia,Inter,86
Marco Verratti,26,Italy,Paris Saint-Germain,86
Samuel Umtiti,25,France,FC Barcelona,86
Wojciech  Szczęsny,29,Poland,Juventus,86
Joshua Kimmich,24,Germany,FC Bayern München,86
Francisco Román Alarcón Suárez,27,Spain,Real Madrid,86
Roberto Firmino Barbosa de Oliveira,27,Brazil,Liverpool,86
Ivan Rakitić,31,Croatia,FC Barcelona,86
Miralem Pjanić,29,Bosnia Herzegovina,Juventus,86
Ángel Fabián Di María Hernández,31,Argentina,Paris Saint-Germain,86
Leonardo Bonucci,32,Italy,Juventus,86
Philippe Coutinho Correia,27,Brazil,FC Bayern München,86
Daniel Parejo Muñoz,30,Spain,Valencia CF,86
Thomas Müller,29,Germany,FC Bayern München,86
Ciro Immobile,29,Italy,Lazio,86
Alexandre Lacazette,28,France,Arsenal,86
Matthijs de Ligt,19,Netherlands,Juventus,85
Gianluigi Donnarumma,20,Italy,Milan,85
Frenkie de Jong,22,Netherlands,FC Barcelona,85
Raphaël Varane,26,France,Real Madrid,85
Niklas Süle,23,Germany,FC Bayern München,85
Sergej Milinković-Savić,24,Serbia,Lazio,85
Rodrigo Hernández Cascante,23,Spain,Manchester City,85
Saúl Ñíguez Esclápez,24,Spain,Atlético Madrid,85
Fábio Henrique Tavares,25,Brazil,Liverpool,85
Andrew Robertson,25,Scotland,Liverpool,85
José María Giménez de Vargas,24,Uruguay,Atlético Madrid,85
Clément Lenglet,24,France,FC Barcelona,85
Bruno Miguel Borges Fernandes,24,Portugal,Sporting CP,85
Anthony Lopes,28,Portugal,Olympique Lyonnais,85
Péter Gulácsi,29,Hungary,RB Leipzig,85
Roman Bürki,28,Switzerland,Borussia Dortmund,85
Romelu Lukaku,26,Belgium,Inter,85
Kostas Manolas,28,Greece,Napoli,85
Norberto Murara Neto,29,Brazil,FC Barcelona,85
David Olatukunbo Alaba,27,Austria,FC Bayern München,85
Mauro Emanuel Icardi Rivero,26,Argentina,Inter,85
Daniel Carvajal Ramos,27,Spain,Real Madrid,85
Hakim Ziyech,26,Morocco,Ajax,85
Zlatan Ibrahimović,37,Sweden,LA Galaxy,85
Alejandro Darío Gómez,31,Argentina,Atalanta,85
Gonzalo Gerardo Higuaín,31,Argentina,Juventus,85
Blaise Matuidi,32,France,Juventus,85
Gareth Frank Bale,29,Wales,Real Madrid,85
Marcelo Vieira da Silva Júnior,31,Brazil,Real Madrid,85
Axel  Witsel,30,Belgium,Borussia Dortmund,85
Alex Sandro Lobo Silva,28,Brazil,Juventus,85
Iago Aspas Juncal,31,Spain,RC Celta,85
Jorge Resurrección Merodio,27,Spain,Atlético Madrid,85
James David Rodríguez Rubio,27,Colombia,Real Madrid,85
Allan Marques Loureiro,28,Brazil,Napoli,85
Jadon Sancho,19,England,Borussia Dortmund,84
Kai Havertz,20,Germany,Bayer 04 Leverkusen,84
Ousmane Dembélé,22,France,FC Barcelona,84
Kepa Arrizabalaga,24,Spain,Chelsea,84
João Pedro Cavaco Cancelo,25,Portugal,Manchester City,84
Bamidele Alli,23,England,Tottenham Hotspur,84
Lucas Hernández,23,France,FC Bayern München,84
Arthur Henrique Ramos Oliveira Melo,22,Brazil,FC Barcelona,84
Memphis Depay,25,Netherlands,Olympique Lyonnais,84
Leon Goretzka,24,Germany,FC Bayern München,84
Julian Brandt,23,Germany,Borussia Dortmund,84
Kingsley Coman,23,France,FC Bayern München,84
Serge Gnabry,23,Germany,FC Bayern München,84
Nabil Fekir,25,France,Real Betis,84
Bernd Leno,27,Germany,Arsenal,84
Luis Alberto Romero Alconchel,26,Spain,Lazio,84
Alex Nicolao Telles,26,Brazil,FC Porto,84
Jiří Pavlenka,27,Czech Republic,SV Werder Bremen,84
Stefan de Vrij,27,Netherlands,Inter,84
Felipe  Anderson Pereira Gomes,26,Brazil,West Ham United,84
Képler Laveran Lima Ferreira,36,Portugal,FC Porto,84
João Filipe Iria Santos Moutinho,32,Portugal,Wolverhampton Wanderers,84
Stéphane Ruffier,32,France,AS Saint-Étienne,84
Salvatore Sirigu,32,Italy,Torino,84
Marek Hamšík,31,Slovakia,Dalian YiFang FC,84
Sokratis Papastathopoulos,31,Greece,Arsenal,84
Lucas  Pezzini Leiva,32,Brazil,Lazio,84
Mesut Özil,30,Germany,Arsenal,84
Javier Martínez Aginaga,30,Spain,FC Bayern München,84
Yann Sommer,30,Switzerland,Borussia Mönchengladbach,84
Edin Džeko,33,Bosnia Herzegovina,Roma,84
Georginio Wijnaldum,28,Netherlands,Liverpool,84
Ivan Perišić,30,Croatia,FC Bayern München,84
Mario Mandžukić,33,Croatia,Juventus,84
Arturo Vidal,32,Chile,FC Barcelona,84
Jérôme Boateng,30,Germany,FC Bayern München,84
César Azpilicueta Tanco,29,Spain,Chelsea,84
José María Callejón Bueno,32,Spain,Napoli,84
İlkay Gündoğan,28,Germany,Manchester City,84
José Paulo Bezzera Maciel Júnior,30,Brazil,Guangzhou Evergrande Taobao FC,84
Kyle Walker,29,England,Manchester City,84
Sergio Canales Madrazo,28,Spain,Real Betis,84
Douglas Costa de Souza,28,Brazil,Juventus,84
Luís Miguel Afonso Fernandes,29,Portugal,SL Benfica,84
Dušan Tadić,30,Serbia,Ajax,84
Josip Iličić,31,Slovenia,Atalanta,84
Riyad Mahrez,28,Algeria,Manchester City,84
Edin Višća,29,Bosnia Herzegovina,Medipol Başakşehir FK,84
Felipe Augusto de Almeida Monteiro,30,Brazil,Atlético Madrid,84
Fabián Ruiz Peña,23,Spain,Napoli,83
Alessio Romagnoli,24,Italy,Milan,83
Giovani Lo Celso,23,Argentina,Tottenham Hotspur,83
Trent Alexander-Arnold,20,England,Liverpool,83
Luka Jović,21,Serbia,Real Madrid,83
Arkadiusz Milik,25,Poland,Napoli,83
Anthony Martial,23,France,Manchester United,83
Anderson Souza Conceição,25,Brazil,Guangzhou Evergrande Taobao FC,83
Jonathan Tah,23,Germany,Bayer 04 Leverkusen,83
Corentin Tolisso,24,France,FC Bayern München,83
Pau López Sabata,24,Spain,Roma,83
Gonçalo Manuel Ganchinho Guedes,22,Portugal,Valencia CF,83
Nicolas Pépé,24,Ivory Coast,Arsenal,83
Manuel Obafemi Akanji,23,Switzerland,Borussia Dortmund,83
Marcus Rashford,21,England,Manchester United,83
John Stones,25,England,Manchester City,83
Adrien Rabiot,24,France,Juventus,83
Alejandro Grimaldo García,23,Spain,SL Benfica,83
Timo Werner,23,Germany,RB Leipzig,83
Thomas Lemar,23,France,Atlético Madrid,83
Davinson Sánchez,23,Colombia,Tottenham Hotspur,83
Marco Asensio Willemsen,23,Spain,Real Madrid,83
Lucas Digne,25,France,Everton,83
Julian Draxler,25,Germany,Paris Saint-Germain,83
Jordan Pickford,25,England,Everton,83
Yannick Ferreira Carrasco,25,Belgium,Dalian YiFang FC,83
Borja Iglesias Quintas,26,Spain,Real Betis,83
Koen Casteels,27,Belgium,VfL Wolfsburg,83
Wilfried Zaha,26,Ivory Coast,Crystal Palace,83
Francisco Alcácer García,25,Spain,Borussia Dortmund,83
Álvaro Borja Morata Martín,26,Spain,Atlético Madrid,83
Sébastien Haller,25,France,West Ham United,83
William Silva de Carvalho,27,Portugal,Real Betis,83
Federico Bernardeschi,25,Italy,Juventus,83
Djené Dakonam Ortega,27,Togo,Getafe CF,83
Oscar dos Santos Emboaba Júnior,27,Brazil,Shanghai SIPG FC,83
Kevin Trapp,28,Germany,Eintracht Frankfurt,83
Marc Bartra Aregall,28,Spain,Real Betis,83
Pablo Sarabia García,27,Spain,Paris Saint-Germain,83
Jasper Cillessen,30,Netherlands,Valencia CF,83
Lucas Rodrigues M. Silva,26,Brazil,Tottenham Hotspur,83
Florian Thauvin,26,France,Olympique de Marseille,83
Luiz Frello Filho Jorge,27,Italy,Chelsea,83
Gianluigi Buffon,41,Italy,Juventus,83
Iker Casillas Fernández,38,Spain,FC Porto,83
Rune  Almenning Jarstein,34,Norway,Hertha BSC,83
Vincent Kompany,33,Belgium,RSC Anderlecht,83
Raúl Albiol Tortajada,33,Spain,Villarreal CF,83
Fabio Quagliarella,36,Italy,Sampdoria,83
Kasper Schmeichel,32,Denmark,Leicester City,83
Radamel Falcao García Zárate,33,Colombia,AS Monaco,83
João Miranda de Souza Filho,34,Brazil,Jiangsu Suning FC,83
Carlos Alberto Vela Garrido,30,Mexico,Los Angeles FC,83
Ezequiel Marcelo Garay,32,Argentina,Valencia CF,83
Rui Pedro dos Santos Patrício,31,Portugal,Wolverhampton Wanderers,83
Radja Nainggolan,31,Belgium,Cagliari,83
Éver Maximiliano David Banega,31,Argentina,Sevilla FC,83
Diego da Silva Costa,30,Spain,Atlético Madrid,83
Sami Khedira,32,Germany,Juventus,83
David Luiz Moreira Marinho,32,Brazil,Arsenal,83
Max Kruse,31,Germany,Fenerbahçe SK,83
Jordan Brian Henderson,29,England,Liverpool,83
Gylfi Þór Sigurðsson,29,Iceland,Everton,83
Aaron Ramsey,28,Wales,Juventus,83
Asier Illarramendi Andonegi,29,Spain,Real Sociedad,83
Daley Blind,29,Netherlands,Ajax,83
Lukáš Hrádecký,29,Finland,Bayer 04 Leverkusen,83
Nicolás Hernán Otamendi,31,Argentina,Manchester City,83
Juan Cuadrado,31,Colombia,Juventus,83
Idrissa Gana Gueye,29,Senegal,Paris Saint-Germain,83
Kevin Kampl,28,Slovenia,RB Leipzig,83
Rodrigo Moreno Machado,28,Spain,Valencia CF,83
Charles Mariano Aránguiz Sandoval,30,Chile,Bayer 04 Leverkusen,83
Wissam Ben Yedder,28,France,AS Monaco,83
Francesco Acerbi,31,Italy,Lazio,83
Danilo Luís Hélio Pereira,27,Portugal,FC Porto,83
Andrej Kramarić,28,Croatia,TSG 1899 Hoffenheim,83
Lourival Adnan Beretta Barbosa,27,Brazil,Atlético Mineiro,83
Josué Durval Chiamulera Vaz,27,Brazil,Grêmio,83
Ronaldo Jailson Cabrais Petri,27,Brazil,Grêmio,83
Mikel Oyarzabal Ugarte,22,Spain,Real Sociedad,82
Leon Bailey Butler,21,Jamaica,Bayer 04 Leverkusen,82
Gabriel Fernando de Jesus,22,Brazil,Manchester City,82
Mateo Kovačić,25,Croatia,Chelsea,82
Andrea Belotti,25,Italy,Torino,82
Thomas Strakosha,24,Albania,Lazio,82
Naby Keïta,24,Guinea,Liverpool,82
Lucas Torreira Di Pascua,23,Uruguay,Arsenal,82
Rúben Diogo da Silva Neves,22,Portugal,Wolverhampton Wanderers,82
Presnel Kimpembe,23,France,Paris Saint-Germain,82
Steven Bergwijn,21,Netherlands,PSV,82
André Onana,23,Cameroon,Ajax,82
Nélson Cabral Semedo,25,Portugal,FC Barcelona,82
Alphonse Areola,26,France,Paris Saint-Germain,82
Mattia Perin,26,Italy,Juventus,82
Daniele Rugani,24,Italy,Juventus,82
Ángel Correa,24,Argentina,Atlético Madrid,82
Iñaki Williams Arthuer,25,Spain,Athletic Club de Bilbao,82
Hirving Rodrigo Lozano Bahena,23,Mexico,PSV,82
Gelson Dany Batalha Martins,24,Portugal,AS Monaco,82
Benjamin Lecomte,28,France,AS Monaco,82
Thomas Partey,26,Ghana,Atlético Madrid,82
Kerem Demirbay,25,Germany,Bayer 04 Leverkusen,82
Joël Andre Job Matip,27,Cameroon,Liverpool,82
Jesús Joaquín Fernández Sáez,25,Spain,Milan,82
Stefan Savić,28,Montenegro,Atlético Madrid,82
Antonio Rüdiger,26,Germany,Chelsea,82
Fernando Pacheco Flores,27,Spain,Deportivo Alavés,82
Ricardo Barbosa Pereira,25,Portugal,Leicester City,82
Nicolás Alejandro Tagliafico,26,Argentina,Ajax,82
David Soria Solís,26,Spain,Getafe CF,82
Sergio  Asenjo Andrés,30,Spain,Villarreal CF,82
Iker Muniain Goñi,26,Spain,Athletic Club de Bilbao,82
Mario Götze,27,Germany,Borussia Dortmund,82
Thomas Delaney,27,Denmark,Borussia Dortmund,82
Oliver Baumann,29,Germany,TSG 1899 Hoffenheim,82
Willian José da Silva,27,Brazil,Real Sociedad,82
Sergio Roberto Carnicer,27,Spain,FC Barcelona,82
Nico Schulz,26,Germany,Borussia Dortmund,82
Kevin Volland,26,Germany,Bayer 04 Leverkusen,82
José Ignacio Fernández Iglesias,29,Spain,Real Madrid,82
Gabriel Armando de Abreu,28,Brazil,Valencia CF,82
Jérôme Roussillon,26,France,VfL Wolfsburg,82
Harry Maguire,26,England,Manchester United,82
Thorgan Hazard,26,Belgium,Borussia Dortmund,82
Emil Forsberg,27,Sweden,RB Leipzig,82
Filip Kostić,26,Serbia,Eintracht Frankfurt,82
Matteo Politano,25,Italy,Inter,82
Rafael Alexandre Fernandes Ferreira da Silva,26,Portugal,SL Benfica,82
José Manuel  Reina Páez,36,Spain,Milan,82
Daniele De Rossi,35,Italy,Boca Juniors,82
Aritz Aduriz Zubeldia,38,Spain,Athletic Club de Bilbao,82
Jesús Navas González,33,Spain,Sevilla FC,82
Santiago Cazorla González,34,Spain,Villarreal CF,82
Héctor Miguel Herrera López,29,Mexico,Atlético Madrid,82
Lucas Rodrigo Biglia,33,Argentina,Milan,82
Łukasz Fabiański,34,Poland,West Ham United,82
Emiliano Viviano,33,Italy,Sporting CP,82
Juan Manuel Mata García,31,Spain,Manchester United,82
Olivier Giroud,32,France,Chelsea,82
Simon Thorup Kjær,30,Denmark,Sevilla FC,82
Willian Borges da Silva,30,Brazil,Chelsea,82
Vedran Ćorluka,33,Croatia,Lokomotiv Moscow,82
Marko Arnautović,30,Austria,Shanghai SIPG FC,82
Alexis Alejandro Sánchez Sánchez,30,Chile,Manchester United,82
Giuliano Victor de Paula,29,Brazil,Al Nassr,82
Aleksandar Kolarov,33,Serbia,Roma,82
Mario  Barwuah Balotelli,28,Italy,Brescia,82
Marlos Romero Bonfim,31,Ukraine,Shakhtar Donetsk,82
Taison Barcellos Freda,31,Brazil,Shakhtar Donetsk,82
Bas Dost,30,Netherlands,Sporting CP,82
Giacomo Bonaventura,29,Italy,Milan,82
Pedro Eliezer Rodríguez Ledesma,31,Spain,Chelsea,82
Luuk de Jong,28,Netherlands,Sevilla FC,82
Stephan El Shaarawy,26,Italy,Shanghai Greenland Shenhua FC,82
Ander Herrera Agüera,29,Spain,Paris Saint-Germain,82
Xherdan Shaqiri,27,Switzerland,Liverpool,82
Mário Figueira Fernandes,28,Russia,PFC CSKA Moscow,82
Sebastián Coates Nión,28,Uruguay,Sporting CP,82
Cédric Bakambu,28,DR Congo,Beijing Sinobo Guoan FC,82
Thomas Meunier,27,Belgium,Paris Saint-Germain,82
Karim Bellarabi,29,Germany,Bayer 04 Leverkusen,82
Jesse Lingard,26,England,Manchester United,82
Quincy Anton Promes,27,Netherlands,Ajax,82
Jamie Vardy,32,England,Leicester City,82
Duván Zapata,28,Colombia,Atalanta,82
José Luis Morales Nogales,31,Spain,Levante UD,82
Raphael William Anjos Rochedo,31,Brazil,Grêmio,82
Juan Everton Mestres de Mesquita,35,Brazil,Cruzeiro,82
Rosberto J. Dourado Santos,31,Brazil,Atlético Mineiro,82
Egidio Maestre Schetino,27,Uruguay,Uruguay,82
José María Sildero,27,Uruguay,Uruguay,82
Lautaro Martínez,21,Argentina,Inter,81
Houssem Aouar,21,France,Olympique Lyonnais,81
Tanguy NDombèlé Alvaro,22,France,Tottenham Hotspur,81
Éder Gabriel Militão,21,Brazil,Real Madrid,81
Alessio Cragno,25,Italy,Cagliari,81
Donny van de Beek,22,Netherlands,Ajax,81
Victor Nilsson Lindelöf,24,Sweden,Manchester United,81
Daniel Ceballos Fernández,22,Spain,Arsenal,81
Pablo Fornals Malla,23,Spain,West Ham United,81
Emre Can,25,Germany,Juventus,81
José Luís Gayà Peña,24,Spain,Valencia CF,81
David Neres Campos,22,Brazil,Ajax,81
Piotr Zieliński,25,Poland,Napoli,81
Gerónimo Rulli,27,Argentina,Montpellier HSC,81
Granit Xhaka,26,Switzerland,Arsenal,81
Rafael Alcântara do Nascimento,26,Brazil,FC Barcelona,81
Geoffrey Kondogbia,26,Central African Rep.,Valencia CF,81
Marcel Sabitzer,25,Austria,RB Leipzig,81
Luke Shaw,23,England,Manchester United,81
Josef Alexander Martínez,26,Venezuela,Atlanta United,81
Abdoulaye Doucouré,26,France,Watford,81
Onyinye Wilfred Ndidi,22,Nigeria,Leicester City,81
Timo Horn,26,Germany,1. FC Köln,81
Willi Orban,26,Hungary,RB Leipzig,81
Alassane Plea,26,France,Borussia Mönchengladbach,81
Yussuf Yurary Poulsen,25,Denmark,RB Leipzig,81
Ryan Fraser,25,Scotland,Bournemouth,81
Matthias Ginter,25,Germany,Borussia Mönchengladbach,81
Raphaël Guerreiro,25,Portugal,Borussia Dortmund,81
João Mário Naval Costa Eduardo,26,Portugal,Inter,81
Thiago Henrique Mendes Ribeiro,27,Brazil,Olympique Lyonnais,81
Armando Izzo,27,Italy,Torino,81
Marcelo Brozović,26,Croatia,Inter,81
Adem Ljajić,27,Serbia,Beşiktaş JK,81
Jesús Corona,26,Mexico,FC Porto,81
Jordi Masip López,30,Spain,Real Valladolid CF,81
Tomáš Vaclík,30,Czech Republic,Sevilla FC,81
Luka Milivojević,28,Serbia,Crystal Palace,81
Gerard Moreno Balagueró,27,Spain,Villarreal CF,81
Wout Weghorst,26,Netherlands,VfL Wolfsburg,81
Ricardo Andrade Quaresma Bernardo,35,Portugal,Beşiktaş JK,81
Jérémy Mathieu,35,France,Sporting CP,81
James Philip Milner,33,England,Liverpool,81
Lisandro López,36,Argentina,Racing Club,81
Bafétimbi Gomis,33,France,Al Hilal,81
Moussa Sidi Yaya Dembélé,31,Belgium,Guangzhou R&F FC,81
Francesc Fàbregas i Soler,32,Spain,AS Monaco,81
Andrea Consigli,32,Italy,Sassuolo,81
Laurent Koscielny,33,France,FC Girondins de Bordeaux,81
Jardel Nivaldo Vieira,33,Brazil,SL Benfica,81
Renato  Soares de Oliveira Augusto,31,Brazil,Beijing Sinobo Guoan FC,81
José Miguel da Rocha Fonte,35,Portugal,LOSC Lille,81
José Andrés Guardado Hernández,32,Mexico,Real Betis,81
Łukasz Piszczek,34,Poland,Borussia Dortmund,81
Kévin Gameiro,32,France,Valencia CF,81
Dimitri  Payet,32,France,Olympique de Marseille,81
Beñat Etxebarria Urkiaga,32,Spain,Athletic Club de Bilbao,81
Antonio Adán Garrido,32,Spain,Atlético Madrid,81
Benedikt Höwedes,31,Germany,Lokomotiv Moscow,81
Fernando Muslera,33,Uruguay,Galatasaray SK,81
Moussa Sissoko,29,France,Tottenham Hotspur,81
Marco Parolo,34,Italy,Lazio,81
Fernando Francisco Reges,31,Brazil,Sevilla FC,81
Osvaldo Nicolás Fabián Gaitán,31,Argentina,Chicago Fire,81
Sebastian Giovinco,32,Italy,Al Hilal,81
Luiz Gustavo Dias,31,Brazil,Olympique de Marseille,81
Nicolas N'Koulou,29,Cameroon,Torino,81
Nemanja Matić,30,Serbia,Manchester United,81
Marcos Alonso Mendoza,28,Spain,Chelsea,81
Henrikh Mkhitaryan,30,Armenia,Arsenal,81
André Gomes Magalhaes de Almeida,28,Portugal,SL Benfica,81
Alessandro  Florenzi,28,Italy,Roma,81
Eran Zahavi,31,Israel,Guangzhou R&F FC,81
Franco Vázquez,30,Argentina,Sevilla FC,81
Lucas Vázquez Iglesias,28,Spain,Real Madrid,81
Daniel García Carrillo,29,Spain,Athletic Club de Bilbao,81
Marcos Javier Acuña,27,Argentina,Sporting CP,81
Laureano Thomas Santeiro Marre,31,Brazil,Fluminense,81
Jaime Nicolás Frendado,35,Uruguay,Uruguay,81
Saúl Marcelo Ardero,31,Uruguay,Uruguay,81
Luis Roberto Dálves,27,Uruguay,Uruguay,81
Segundo Mandíquez,30,Ecuador,Ecuador,81
João Félix Sequeira,19,Portugal,Atlético Madrid,80
Nicolò Barella,22,Italy,Inter,80
Joe Gomez,22,England,Liverpool,80
Andreas Christensen,23,Denmark,Chelsea,80
Mike Maignan,23,France,LOSC Lille,80
Youri Tielemans,22,Belgium,Leicester City,80
Mario Hermoso Canseco,24,Spain,Atlético Madrid,80
Carlos Soler Barragán,22,Spain,Valencia CF,80
Mattia Caldara,25,Italy,Milan,80
Harry Winks,23,England,Tottenham Hotspur,80
Krzysztof Piątek,24,Poland,Milan,80
Diogo José Teixeira da Silva,22,Portugal,Wolverhampton Wanderers,80
Marcos Llorente Moreno,24,Spain,Atlético Madrid,80
Ferland Mendy,24,France,Real Madrid,80
Óscar Melendo Jiménez,21,Spain,RCD Espanyol,80
Rúben Alves Dias,22,Portugal,SL Benfica,80
Dominik Livaković,23,Croatia,Dinamo Zagreb,80
Héctor Bellerín Moruno,24,Spain,Arsenal,80
Benjamin Mendy,24,France,Manchester City,80
Moussa Dembélé,22,France,Olympique Lyonnais,80
Odisseas Vlachodimos,25,Greece,SL Benfica,80
Santiago Mina Lorenzo,23,Spain,RC Celta,80
Marcos Paulo Mesquita Lopes,23,Portugal,Sevilla FC,80
Joaquín Correa,24,Argentina,Lazio,80
Tiémoué Bakayoko,24,France,Chelsea,80
Maximilian Eggestein,22,Germany,SV Werder Bremen,80
Álvaro Odriozola Arzalluz,23,Spain,Real Madrid,80
Maximiliano Gómez,22,Uruguay,Valencia CF,80
Sergi Darder Moll,25,Spain,RCD Espanyol,80
Kurt Happy Zouma,24,France,Chelsea,80
Leandro Paredes,25,Argentina,Paris Saint-Germain,80
Nathan Aké,24,Netherlands,Bournemouth,80
Elseid Hysaj,25,Albania,Napoli,80
André Filipe Tavares Gomes,25,Portugal,Everton,80
Keita Baldé,24,Senegal,AS Monaco,80
Julian Weigl,23,Germany,Borussia Dortmund,80
Valentin Rongier,24,France,FC Nantes,80
Yeray Álvarez López,24,Spain,Athletic Club de Bilbao,80
Lorenzo Morón García,25,Spain,Real Betis,80
Ricardo Rodríguez,26,Switzerland,Milan,80
Alex Oxlade-Chamberlain,25,England,Liverpool,80
José Ángel Gómez Campaña,26,Spain,Levante UD,80
Aïssa Mandi,27,Algeria,Real Betis,80
Gerard Deulofeu Lázaro,25,Spain,Watford,80
Juan Bernat Velasco,26,Spain,Paris Saint-Germain,80
Esteban Andrada,28,Argentina,Boca Juniors,80
Michael Keane,26,England,Everton,80
Juan Fernando Quintero,26,Colombia,River Plate,80
Samuel Castillejo Azuaga,24,Spain,Milan,80
Walter Benítez,26,Argentina,OGC Nice,80
Ante Rebić,25,Croatia,Eintracht Frankfurt,80
Eric Bailly,25,Ivory Coast,Manchester United,80
Miguel Almirón,25,Paraguay,Newcastle United,80
Manuel Lazzari,25,Italy,Lazio,80
Manuel Lanzini,26,Argentina,West Ham United,80
Jeroen Zoet,28,Netherlands,PSV,80
Mathew Ryan,27,Australia,Brighton & Hove Albion,80
Sergi Gómez Solà,27,Spain,Sevilla FC,80
Hans Vanaken,26,Belgium,Club Brugge KV,80
Martin Hinteregger,26,Austria,Eintracht Frankfurt,80
Matija Nastasić,26,Serbia,FC Schalke 04,80
Gabriel Appelt Pires,25,Brazil,SL Benfica,80
Callum Wilson,27,England,Bournemouth,80
Josuha Guilavogui,28,France,VfL Wolfsburg,80
Davy Klaassen,26,Netherlands,SV Werder Bremen,80
Pavel Kadeřábek,27,Czech Republic,TSG 1899 Hoffenheim,80
Christoph Kramer,28,Germany,Borussia Mönchengladbach,80
Íñigo Martínez Berridi,28,Spain,Athletic Club de Bilbao,80
Cristian Portugués Manzanera,27,Spain,Real Sociedad,80
Manuel Trigueros Muñoz,27,Spain,Villarreal CF,80
Hakan Çalhanoğlu,25,Turkey,Milan,80
Moanes Dabour,27,Israel,Sevilla FC,80
Marcel Halstenberg,27,Germany,RB Leipzig,80
Matias Vecino,27,Uruguay,Inter,80
Martin Dúbravka,30,Slovakia,Newcastle United,80
Marko Dmitrović,27,Serbia,SD Eibar,80
Joaquín Sánchez Rodríguez,37,Spain,Real Betis,80
Wayne Mark Rooney,33,England,DC United,80
Miguel Ángel Moyá Rumbo,35,Spain,Real Sociedad,80
Luís Carlos Almeida da Cunha,32,Portugal,Orlando City SC,80
Javier Alejandro Mascherano,35,Argentina,Hebei China Fortune FC,80
Diego López Rodríguez,37,Spain,RCD Espanyol,80
Igor Akinfeev,33,Russia,PFC CSKA Moscow,80
André-Pierre Gignac,33,France,Tigres U.A.N.L.,80
Jorge Molina Vidal,37,Spain,Getafe CF,80
Benoît Costil,31,France,FC Girondins de Bordeaux,80
Loïc Perrin,33,France,AS Saint-Étienne,80
Ben Foster,36,England,Watford,80
Tom Heaton,33,England,Aston Villa,80
Steve Mandanda,34,France,Olympique de Marseille,80
Charles Dias De Oliveira,35,Brazil,SD Eibar,80
Ştefan Daniel Radu,32,Romania,Lazio,80
